"country","total_revenue","total_orders","avg_order_value"
"United Kingdom",17871351.33,36536,489.14
"EIRE",664431.78,626,1061.39
"Netherlands",554232.34,228,2430.84
"Germany",431262.46,789,546.59
"France",356944.60,622,573.87
"Australia",169968.11,95,1789.14
"Spain",109178.53,154,708.95
"Switzerland",101011.29,93,1086.14
"Sweden",91903.72,105,875.27
"Denmark",69862.19,43,1624.70
"Belgium",65753.42,149,441.30
"Norway",60109.62,45,1335.77
"Portugal",58016.65,95,610.70
"Japan",47138.39,33,1428.44
"Channel Islands",44996.76,55,818.12
"Italy",32550.42,65,500.78
"Finland",29925.54,57,525.01
"Singapore",25317.06,11,2301.55
"Cyprus",24980.13,37,675.14
"Hong Kong",23894.32,15,1592.95
"Austria",23613.01,45,524.73
"Greece",19096.19,18,1060.90
"Israel",11334.66,10,1133.47
"United Arab Emirates",11097.63,16,693.60
"Unspecified",10936.01,24,455.67
"Poland",10902.45,28,389.37
"USA",8366.86,20,418.34
"Malta",8099.09,9,899.90
"Lithuania",6553.74,6,1092.29
"Iceland",5633.32,8,704.17
"Canada",4883.04,8,610.38
"RSA",4804.32,4,1201.08
"Bahrain",3109.79,10,310.98
"Thailand",3070.54,2,1535.27
"Lebanon",1905.58,2,952.79
"Brazil",1411.87,2,705.94
"European Community",1300.25,4,325.06
"Bermuda",1253.14,1,1253.14
"Korea",1118.51,2,559.26
"Czech Republic",826.74,2,413.37
"West Indies",536.41,1,536.41
"Saudi Arabia",145.92,1,145.92
"Nigeria",140.39,2,70.20
