"month","total_revenue","total_orders","avg_order_value"
"2009-12-01 00:00:00",825685.76,1682,490.90
"2010-01-01 00:00:00",652708.50,1105,590.69
"2010-02-01 00:00:00",553713.30,1202,460.66
"2010-03-01 00:00:00",833570.13,1681,495.88
"2010-04-01 00:00:00",681528.99,1462,466.16
"2010-05-01 00:00:00",659858.86,1500,439.91
"2010-06-01 00:00:00",752270.14,1645,457.31
"2010-07-01 00:00:00",650712.94,1529,425.58
"2010-08-01 00:00:00",697274.91,1425,489.32
"2010-09-01 00:00:00",924333.01,1839,502.63
"2010-10-01 00:00:00",1165483.91,2301,506.51
"2010-11-01 00:00:00",1470272.48,2747,535.23
"2010-12-01 00:00:00",1262598.79,1559,809.88
"2011-01-01 00:00:00",691364.56,1086,636.62
"2011-02-01 00:00:00",523631.89,1100,476.03
"2011-03-01 00:00:00",717639.36,1454,493.56
"2011-04-01 00:00:00",537808.62,1246,431.63
"2011-05-01 00:00:00",770536.02,1681,458.38
"2011-06-01 00:00:00",761739.90,1533,496.89
"2011-07-01 00:00:00",719221.19,1475,487.61
"2011-08-01 00:00:00",759138.38,1361,557.78
"2011-09-01 00:00:00",1058590.17,1837,576.26
"2011-10-01 00:00:00",1154979.30,2040,566.17
"2011-11-01 00:00:00",1509496.33,2769,545.14
