"description","total_orders","units_sold","total_revenue"
"REGENCY CAKESTAND 3 TIER",3918,27577,344563.25
"WHITE HANGING HEART T-LIGHT HOLDER",5455,96683,266923.55
"PAPER CRAFT , LITTLE BIRDIE",1,80995,168469.60
"JUMBO BAG RED RETROSPOT",3269,79279,150935.56
"PARTY BUNTING",2674,28378,149187.05
"ASSORTED COLOUR BIRD ORNAMENT",2807,81809,132187.92
"PAPER CHAIN KIT 50'S CHRISTMAS ",2018,36581,123141.54
"CHILLI LIGHTS",1135,16840,85489.91
"MEDIUM CERAMIC TOP STORAGE JAR",247,78033,81700.92
"ROTATING SILVER ANGELS T-LIGHT HLDR",756,32525,74448.92
"JUMBO BAG STRAWBERRY",1855,37337,69565.89
"BLACK RECORD COVER FRAME",634,19954,69329.47
"RABBIT NIGHT LIGHT",994,30788,66964.99
"HOT WATER BOTTLE TEA AND SYMPATHY",1583,12462,63517.75
"WOOD BLACK BOARD ANT WHITE FINISH",1176,11054,62842.02
"JUMBO STORAGE BAG SUKI",2329,29503,62285.28
"PAPER CHAIN KIT VINTAGE CHRISTMAS",1427,19597,61721.99
"CHOCOLATE HOT WATER BOTTLE",1721,11556,60763.12
"EDWARDIAN PARASOL NATURAL",1149,11550,60687.03
"VINTAGE UNION JACK BUNTING",1292,6945,60668.54
"JUMBO  BAG BAROQUE BLACK WHITE",1878,31266,60377.49
"JUMBO SHOPPER VINTAGE RED PAISLEY",2192,27732,58275.45
"HEART OF WICKER LARGE",1952,18551,55898.87
"CREAM HEART CARD HOLDER",1299,18363,54598.73
"VICTORIAN GLASS HANGING T-LIGHT",1816,40748,53330.49
"SCOTTIE DOG HOT WATER BOTTLE",1689,10218,52192.31
"VINTAGE UNION JACK MEMOBOARD",530,7200,52122.73
"RED HANGING HEART T-LIGHT HOLDER",1760,17999,51556.97
"HEART OF WICKER SMALL",2151,29037,51127.76
"JUMBO BAG PINK POLKADOT",1443,25627,50847.80
"JUMBO BAG PINK VINTAGE PAISLEY",1619,25954,50334.10
"RED RETROSPOT CAKE STAND",1187,4772,50016.44
"EDWARDIAN PARASOL BLACK",944,9772,49685.41
"RED TOADSTOOL LED NIGHT LIGHT",1537,29715,49539.69
"NATURAL SLATE HEART CHALKBOARD ",2046,15771,48671.05
"STRAWBERRY CERAMIC TRINKET BOX",2310,37610,48626.76
"WOODEN FRAME ANTIQUE WHITE ",2059,16069,48342.45
"HOME BUILDING BLOCK WORD",2066,7847,48079.69
"RED WOOLLY HOTTIE WHITE HEART.",1145,11830,47737.38
"PLEASE ONE PERSON METAL SIGN",1632,23248,47133.55
"LUNCH BAG  BLACK SKULL.",2351,27126,46422.49
"BAKING SET 9 PIECE RETROSPOT ",1914,9383,45966.16
"ROUND SNACK BOXES SET OF4 WOODLAND ",1388,15624,44851.98
"RED  HARMONICA IN BOX ",1025,38191,44808.80
"SMALL POPCORN HOLDER",1407,49948,44090.13
"SET/4 WHITE RETRO STORAGE CUBES ",328,1129,43921.51
"GIN + TONIC DIET METAL SIGN",1609,20407,43153.93
"COLOUR GLASS. STAR T-LIGHT HOLDER",757,14714,42961.62
"DOORMAT UNION FLAG",991,6395,42949.37
"CHARLOTTE BAG SUKI DESIGN",1403,28283,42834.30
"LUNCH BAG CARS BLUE",2067,24892,42784.74
"SPOTTY BUNTING",1140,8327,42548.13
"WOODEN PICTURE FRAME WHITE FINISH",2006,17198,42546.58
"LUNCH BAG RED RETROSPOT",1837,22799,42135.88
"JUMBO BAG OWLS",1314,21199,41390.09
"ROUND SNACK BOXES SET OF 4 FRUITS ",1154,14552,40260.46
"JAM MAKING SET WITH JARS",1159,9302,39694.56
"PICNIC BASKET WICKER 60 PIECES",2,61,39619.50
"CREAM SWEETHEART MINI CHEST",929,3148,39428.65
"DOORMAT HEARTS",1033,6139,39274.93
"LUNCH BAG WOODLAND",1926,22341,38949.73
"SPACEBOY LUNCH BOX ",1368,21223,38750.20
"ROSES REGENCY TEACUP AND SAUCER ",1410,13129,38568.19
"COOK WITH WINE METAL SIGN ",1425,20128,38560.16
"DOORMAT KEEP CALM AND COME IN",728,5491,38166.64
"SET OF 3 CAKE TINS PANTRY DESIGN ",1385,7493,38158.39
"JUMBO BAG WOODLAND ANIMALS",1415,17957,38029.89
"ALARM CLOCK BAKELIKE RED ",1363,9595,37970.11
"DOORMAT RED RETROSPOT",900,5227,36626.81
"LOVE BUILDING BLOCK WORD",1696,5774,35641.99
"RECYCLING BAG RETROSPOT ",1570,16075,35408.96
"WHITE SKULL HOT WATER BOTTLE ",930,6872,34617.93
"DOORMAT FANCY FONT HOME SWEET HOME",713,5209,34608.01
"DOORMAT FAIRY CAKE",597,5131,34542.07
"RECIPE BOX PANTRY YELLOW DESIGN",1657,10951,34489.05
"POPCORN HOLDER",803,36761,34298.87
"DOORMAT NEW ENGLAND",818,5399,34041.03
"DOLLY GIRL LUNCH BOX",1333,18363,33980.00
"ALARM CLOCK BAKELIKE GREEN",1273,7954,33737.59
"HAND WARMER OWL DESIGN",1212,15557,33575.51
"LUNCH BAG SPACEBOY DESIGN ",2108,19814,33413.79
"BLACK HEART CARD HOLDER",566,12484,33201.00
"ASSORTED COLOURS SILK FAN",991,44365,33041.55
"WOOD S/3 CABINET ANT WHITE FINISH",1072,4157,32852.96
"JUMBO BAG SPACEBOY DESIGN",1248,17227,32749.37
"6 RIBBONS RUSTIC CHARM",1751,17569,32213.59
"BOX OF VINTAGE ALPHABET BLOCKS",571,3242,32163.94
"HAND OVER THE CHOCOLATE   SIGN ",1460,16645,32064.76
"KNITTED UNION FLAG HOT WATER BOTTLE",1009,7343,32054.49
"ANTIQUE SILVER TEA GLASS ETCHED",1080,23376,31918.10
"RETROSPOT TEA SET CERAMIC 11 PC ",1321,6225,31853.87
"LUNCH BOX I LOVE LONDON",1074,16868,31201.07
"SET OF 3 REGENCY CAKE TINS",873,6357,31177.95
"GREEN REGENCY TEACUP AND SAUCER",1340,9938,31062.42
"PICNIC BASKET WICKER LARGE",762,2643,30828.29
"SET 7 BABUSHKA NESTING BOXES",692,3781,30804.75
"EDWARDIAN PARASOL RED",715,6259,30667.32
"3 HEARTS HANGING DECORATION RUSTIC",718,9443,30498.18
"JUMBO BAG APPLES",978,14920,30475.65
"HAND WARMER SCOTTY DOG DESIGN",1083,13772,30426.54
"WOOD 2 DRAWER CABINET WHITE FINISH",1123,5103,30213.89
"LUNCH BAG RED SPOTTY",1219,18143,30156.97
"JUMBO BAG SCANDINAVIAN PAISLEY",880,16366,29849.79
"PINK HAPPY BIRTHDAY BUNTING",882,5791,29727.93
"HAND WARMER BIRD DESIGN",1054,13453,29541.02
"SET/5 RED SPOTTY LID GLASS BOWLS",883,10718,29503.92
"GUMBALL COAT RACK",1095,12298,29139.10
"PINK BLUE FELT CRAFT TRINKET BOX",1148,22629,29027.46
"PACK OF 72 RETROSPOT CAKE CASES",1708,49805,28927.92
"HOT WATER BOTTLE KEEP CALM",782,5841,28842.55
"HANGING HEART JAR T-LIGHT HOLDER",1425,21903,28734.82
"HOT WATER BOTTLE I AM SO POORLY",1011,5566,28659.98
"HOT BATHS METAL SIGN",1176,13090,28496.81
"PACK OF 60 PINK PAISLEY CAKE CASES",1993,56794,28490.98
"WOODLAND CHARLOTTE BAG",1573,24945,28287.32
"MINI PAINT SET VINTAGE ",714,44405,28284.79
"JAM MAKING SET PRINTED",1200,18086,28242.89
"IVORY KITCHEN SCALES",1219,3258,28227.77
"JUMBO STORAGE BAG SKULLS",1321,13657,27923.57
"GRAND CHOCOLATECANDLE",920,20178,27915.13
"JUMBO BAG ALPHABET",906,13379,27890.17
"TEA TIME PARTY BUNTING",874,6055,27791.51
"60 TEATIME FAIRY CAKE CASES",2127,54716,27404.22
"SET OF 6 RIBBONS VINTAGE CHRISTMAS",756,9828,27061.58
"FAWN BLUE HOT WATER BOTTLE",1050,8557,26988.98
"RETROSPOT HEART HOT WATER BOTTLE",930,5460,26979.04
"FELTCRAFT 6 FLOWER FRIENDS",1382,12922,26855.26
"MEMO BOARD RETROSPOT  DESIGN",900,5694,26626.56
"PLASTERS IN TIN SPACEBOY",1299,15779,26485.10
"JUMBO BAG PINK WITH WHITE SPOTS",802,14213,26264.11
"JUMBO BAG TOYS ",1052,12838,26186.90
"FAIRY CAKE FLANNEL ASSORTED COLOUR",613,13105,25887.35
"PAPER BUNTING RETROSPOT",920,8512,25807.36
"PAPER BUNTING WHITE LACE",847,8532,25563.17
"PAPER CHAIN KIT EMPIRE",811,8879,25480.38
"COLOUR GLASS T-LIGHT HOLDER HANGING",1259,40839,25475.05
"TEA TIME CAKE STAND IN GIFT BOX",522,2469,25471.33
"RED RETROSPOT CHARLOTTE BAG",1255,20916,25332.74
"SMALL GLASS HEART TRINKET POT",1066,11658,25276.95
"WORLD WAR 2 GLIDERS ASSTD DESIGNS",1019,110138,25259.90
"PINK CREAM FELT CRAFT TRINKET BOX ",1397,20761,25151.84
"JUMBO BAG RED WHITE SPOTTY ",534,14071,25065.07
